iter	Passed	Remaining
0	2	268
1	5	262
2	7	250
3	9	231
4	12	232
5	14	222
6	15	210
7	17	197
8	18	187
9	20	185
10	21	177
11	23	171
12	25	169
13	27	167
14	28	160
15	29	155
16	30	150
17	31	144
18	32	139
19	34	138
20	36	135
21	37	132
22	39	132
23	41	130
24	42	126
25	43	123
26	44	120
27	45	117
28	46	114
29	48	113
30	50	111
31	51	109
32	52	107
33	55	107
34	56	105
35	57	102
36	58	99
37	59	97
38	60	94
39	62	93
40	63	91
41	64	89
42	65	87
43	68	87
44	70	85
45	71	83
46	72	81
47	73	79
48	74	77
49	76	76
50	77	74
51	79	73
52	80	71
53	82	69
54	83	68
55	84	66
56	85	64
57	86	62
58	87	60
59	89	59
60	90	58
61	92	56
62	93	54
63	94	53
64	96	51
65	98	50
66	99	49
67	100	47
68	101	45
69	103	44
70	104	42
71	105	41
72	107	39
73	108	38
74	109	36
75	111	35
76	112	33
77	113	32
78	114	30
79	116	29
80	117	27
81	118	26
82	120	24
83	121	23
84	122	21
85	124	20
86	125	18
87	127	17
88	128	15
89	129	14
90	130	12
91	132	11
92	133	10
93	134	8
94	136	7
95	137	5
96	138	4
97	140	2
98	141	1
99	142	0
